"Date","Time","Reason For Call","Patrol Officer Name/Street","Street/Unit","Unit/Car","Race","Gender","Outcome"
"1/2/19",1738,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL KEVIN P GARNER -","NEW ASHFORD RD","34 .","W","M",3
"1/2/19",2144,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL KEVIN P GARNER","COLD SPRING RD","34","W","M",3
"1/3/19",1936,"- MOTOR VEHICLE STOP CITATION - WARNING .","PATROL KEVIN P GARNER","HANCOCK RD",NA,"W","F",3
"1/4/19",1752,"- MOTOR VEHICLE STOP CITATION - WARNING |",NA,"NORTH HOOSAC RD","38","W","F",3
"1/5/19",938,"- MOTOR VEHICLE STOP CITATION ~- WARNING","PATROL DAVID JENNINGS D","SAND SPRINGS RD","34","W","F",3
"1/7/19",2044,"~- MOTOR VEHICLE STOP CITATION - WARNING","PATROL KEVIN P GARNER","NEW ASHFORD RD","34","W","F",3
"1/8/19",923,"- MOTOR VEHICLE STOP CITATION ~ CIVIL","PATROL TANIA HERNANDEZ","NORTH HOOSAC RD","36","W","F",4
"1/9/19",950,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL DAVID JENNINGS D","NORTH ST","34","W","M",3
"1/9/19",1027,"- MOTOR VEHICLE STOP . CITATION - WARNING","PATROL DAVID JENNINGS D","NORTH HOOSAC RD |","34","W","M",3
"1/3/19",1509,"- MOTOR VEHICLE STOP CITATION - WARNING 2","SERGEANT DAVID R LEMIEUX )","GALE RD |","31","W","F",3
"1/3/19",1517,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL JOHN J MCCONNELL JR |","COLE AVE","38 !","W","F",3
"1/11/19",2029,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL JOHN J MCCONNELL JR .","NORTH HOOSAC RD :","38 2","W","F",3
"1/14/19",735,"- MOTOR VEHICLE STOP CITATION - WARNING .","PATROL TANIA HERNANDEZ","COLD SPRING RD","36","W","F",3
"1/15/19",1714,"- MOTOR VEHICLE STOP CITATION ~ WARNING",NA,"COLE AVE","32","W","M",3
"1/15/19",1824,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL SHUAN N WILLIAM","BRIDGES RD","32","W","M",3
"1/15/19",1844,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM :","BRIDGES RD |","32","W","M",3
"1/16/19",2025,"~ MOTOR VEHICLE STOP CITATION - WARNING",NA,"HANCOCK RD","34","W","F",3
"1/16/19",28,"~- MOTOR VEHICLE STOP ; CITATION - WARNING","PATROLMAN SCOTT SKORUPSKI","MAIN ST","32","W","F",3
"1/16/19",824,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL DAVID JENNINGS D","NORTH HOOSAC RD","34","W","M",3
"1/16/19",1807,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL JOHN J MCCONNELL JR",NA,"38","W","M",3
"1/16/19",1947,"-~ MOTOR VEHICLE STOP CITATION - CIVIL","PATROL JOHN J MCCONNELL JR","NEW ASHFORD RD","38","W","M",4
"1/23/19",2201,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL JOHN J MCCONNELL JR","MAIN sT .","38","W","M",3
"1/23/19",1308,"- MOTOR VEHICLE STOP CITATION - WARNING :","PATROL DAVID JENNINGS D","MAIN ST","30","W","F",3
"1/26/19",2002,"- MOTOR VEHICLE STOP CITATION ~- WARNING","PATROL JOHN J MCCONNELL JR","NORTH HOOSAC RD","38","B","M",3
"1/26/19",1052,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL DAVID JENNINGS D","MAIN ST","30 |","W","F",3
"1/27/19",1556,"~- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL KALVIN DZIEDZIAK |","MAIN ST","30","W","M",3
"2/1/19",2051,"- MOTOR VEHICLE STOP ARREST (S) |","PATROL SHUAN N WILLIAM","NORTH HOOSAC RD )","38","W","M",7
"2/2/19",153,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL ANTHONY M DUPRAT |","WATER ST |","30","W","F",3
"2/2/19",1856,"~ MOTOR VEHICLE STOP CITATION - WARNING","SERGEANT DAVID R LEMIEUX }","MAIN ST :","31 '","W","M",3
"2/3/19",147,"- MOTOR VEHICLE STOP CITATION -~ WARNING |","PATROL KEVIN P GARNER","COLD SPRING RD","34","W","F",3
"2/4/19",1015,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL KALVIN DZTEDZTIAK","MAIN ST","30","W","M",3
"2/6/19",1402,"- MOTOR VEHICLE STOP CITATION - WARNING }","PATROL DAVID JENNINGS D |","BRIDGES RD -","30 |","W","F",3
"2/6/19",2012,"- MOTOR VEHICLE STOP . CITATION ~- WARNING","PATROL JOHN J MCCONNELL JR","NORTH HOOSAC RD","38","W","M",3
"2/8/19",1617,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL SHUAN N WILLIAM","MAIN ST","32","W","M",3
"2/9/19",1719,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL JOHN J MCCONNELL JR","NEW ASHFORD RD","38","W","M",3
"2/10/19",31,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROLMAN SCOTT SKORUPSKI :","LUCE RD","32","W","F",3
