Date,Time,Reason For Call,Patrol Officer Name/Street,Street/Unit,Unit/Car,Race,Gender,Outcome,Severity
96/29/2019,3,-~ MOTOR VEHICLE STOP CIYATION - WARNING,PATROL ANTHONY M DUPRAT,COLD SPRING RD,35,W,F,3,0
96/29/2019,104,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROLMAN SCOTT SKORUPSKI,COLD SPRING RD,32,A,M,3,0
96/29/2019,15,- MOTOR VEHICLE sTop CITATION ~ WARNING,PATROLMAN SCOTT SKORUPSKI,NORTH ST,32,W,M,3,0
96/29/2019,823,~ MOTOR VEHICLE STOP CITATION - WARNING,NA,MAIN sT,35,W,M,3,0
69/01/2019,2348,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL ANTHONY M DUPRAT,COLD SPRING RD,34,W,M,3,0
66/30/2019,2351,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL ANTHONY M DUPRAT,; COLD SPRING RD,35,W,M,3,0
62/19/2019,1100,- MOTOR VEHICLE STOP CITATION - WARNING |,CHIEF KYLE J JOHNSON,BRIDGES RD,NA,W,M,3,0
62/19/2019,1305,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL KALVIN DZ2ITEDZTAK,; NEW ASHFORD RD,34,W,M,3,0
7/12/2026,2222,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,F,3,0
7/12/2026,2246,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,M,3,0
1/8/2026,757,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL DAVID JENNINGS D,COLD SPRING RD,34,W,F,3,0
1/8/2026,6113,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,34,W,M,3,0
10/24/2020,2242,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,F,3,0
10/24/2020,2149,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,M,3,0
10/21/2020,1315,#NAME?,PATROL TANIA HERNANDEZ,MAIN ST,36,W,F,3,0
10/18/2020,2113,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
10/18/2020,1743,#NAME?,PATROL KEVIN P GARNER,GREEN RIVER RD,34,W,M,3,0
10/13/2020,1934,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,M,3,0
10/10/2020,1856,#NAME?,PATROL SHUAN N WILLIAM,MAIN ST,32,W,M,3,0
10/8/2020,2013,#NAME?,NA,MAIN ST,37K,W,F,3,0
10/8/2020,59,#NAME?,NA,MAIN ST,34,B,M,3,0
10/7/2020,2231,- MOTOR VEHICLE STOP ARREST (5S),PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,7,1
10/6/2020,2328,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,F,3,0
10/6/2020,2038,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,F,3,0
10/6/2020,2102,#NAME?,NA,NEW ASHFORD RD,34,W,F,3,0
